NTAName,listings,population0010,population1020
Allerton-Pelham Gardens,70,1995700,2023210
Annadale-Huguenot-Prince's Bay-Eltingville,10,263760,277700
Arden Heights,4,99984,100952
Astoria,1209,107748498,95260737
Bath Beach,17,485724,508827
Battery Park City-Lower Manhattan,964,19364832,38269836
Bay Ridge,196,15785644,15556716
Bayside-Bayside Hills,39,1730469,1708512
Bedford,3714,219969078,262628082
Bedford Park-Fordham North,63,3485727,3428145
Bellerose,14,342496,354018
Belmont,24,623208,657072
Bensonhurst West,75,6348000,6654525
Borough Park,136,13743480,14464552
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,70,1869770,1961260
Briarwood-Jamaica Hills,64,2475200,2504832
Brighton Beach,75,2643300,2666025
Bronxdale,19,651871,675222
Brooklyn Heights-Cobble Hill,253,5704644,5790411
Brownsville,61,3605039,3556300
Bushwick South,2465,159280905,177728965
Cambria Heights,26,544544,485602
Canarsie,147,12503526,12302871
Carroll Gardens-Columbia Street-Red Hook,354,13567758,13576962
Central Harlem North-Polo Grounds,2657,186032512,200024274
Charleston-Richmond Valley-Tottenville,8,146656,186504
Chinatown,368,19274000,17606592
Claremont-Bathgate,28,788172,870184
Clinton Hill,572,19043024,19900452
Co-op City,2,81352,87504
College Point,19,406733,461225
Corona,64,3333248,3690112
Crotona Park East,10,180720,202770
Crown Heights North,1564,161814568,161356316
Cypress Hills-City Line,135,6609735,6645105
Douglas Manor-Douglaston-Little Neck,13,316628,321607
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,330,10179510,11383350
Dyker Heights,12,471984,509028
East Concourse-Concourse Village,32,1886752,1993088
East Elmhurst,185,3918855,4282750
East Flatbush-Farragut,500,28016500,25177500
East Harlem North,1118,63891464,64865242
East New York,218,18153950,20046844
East Tremont,11,432080,477653
East Village,1853,77355338,81784008
Eastchester-Edenwald-Baychester,33,1168926,1139061
Elmhurst,237,20849364,20957199
Far Rockaway-Bayswater,46,2223824,2302668
Flatbush,621,68853375,65704284
Flatlands,83,5538258,5375246
Flushing,426,29548212,30675408
Forest Hills,144,12246624,12056832
Fort Greene,489,13855815,12752631
Fresh Meadows-Utopia,32,555936,569984
Ft. Totten-Bay Terrace-Clearview,8,181848,174008
Georgetown-Marine Park-Bergen Beach-Mill Basin,14,601160,633234
Glendale,54,1677834,1754784
Gramercy,338,8850192,9459944
Grasmere-Arrochar-Ft. Wadsworth,29,441902,466291
Gravesend,68,1989476,2001648
Great Kills,10,416800,407200
Greenpoint,1115,42170415,38711685
Grymes Hill-Clifton-Fox Hills,22,436348,494120
Hammels-Arverne-Edgemere,88,2784760,3245880
Highbridge,27,913788,1018629
Hollis,14,290458,283766
Hudson Yards-Chelsea-Flatiron-Union Square,1193,66615927,83688950
Hunters Point-Sunnyside-West Maspeth,363,22486761,22967373
Hunts Point,18,452556,489672
Jackson Heights,186,21078822,20116272
Jamaica,231,11977119,12416481
Jamaica Estates-Holliswood,23,599403,586040
Kensington-Ocean Parkway,176,6500912,6492816
Kew Gardens,32,764416,744896
Kew Gardens Hills,26,937352,974454
Laurelton,18,474750,440154
Lenox Hill-Roosevelt Island,77,5900587,6219367
Lindenwood-Howard Beach,20,562420,522960
Longwood,62,1431084,1624152
Lower East Side,911,65827038,66463827
Marble Hill-Inwood,264,12958968,12340944
Mariner's Harbor-Arlington-Port Ivory-Graniteville,17,475269,535058
Maspeth,110,3180760,3356760
Melrose South-Mott Haven North,10,331950,392140
Middle Village,31,1166499,1175799
Midtown-Midtown South,1545,39871815,44233350
Midwood,109,6042960,5759015
Morningside Heights,346,18755968,19351434
Morrisania-Melrose,18,536346,681570
Mott Haven-Port Morris,106,5197180,5555778
Mount Hope,20,1052980,1036140
Murray Hill,485,25709365,25093415
Murray Hill-Kips Bay,470,22756930,23848740
New Brighton-Silver Lake,44,738496,771100
New Dorp-Midland Beach,12,242904,262752
New Springville-Bloomfield-Travis,8,314472,316776
North Riverdale-Fieldston-Riverdale,33,924429,919380
Norwood,31,1265327,1255314
Oakwood-Oakwood Beach,5,111330,110245
Old Town-Dongan Hills-South Beach,41,943697,1018235
Ozone Park,62,1305224,1325312
Park Slope-Gowanus,753,50649039,50939697
Parkchester,39,1144767,1163019
Pelham Bay-Country Club-City Island,35,949900,930405
Port Richmond,9,162378,181719
Prospect Heights,357,7016835,7086093
Prospect Lefferts Gardens-Wingate,535,37610500,36090565
Queens Village,60,3462240,3150240
Queensbridge-Ravenswood-Long Island City,537,11332848,10756110
Rego Park,106,3116824,2995560
Richmond Hill,94,5920590,5920308
Ridgewood,423,29379465,29321091
Rosedale,59,1504618,1478717
Rossville-Woodrow,2,37788,41526
Schuylerville-Throgs Neck-Edgewater Park,37,1617344,1634179
Seagate-Coney Island,24,822408,767160
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,186,12014856,12000348
SoHo-TriBeCa-Civic Center-Little Italy,961,35323477,41075062
Soundview-Castle Hill-Clason Point-Harding Park,45,2283885,2415870
South Ozone Park,40,3156240,3035120
Springfield Gardens South-Brookville,85,1610750,1711220
Spuyten Duyvil-Kingsbridge,74,2210528,2231914
St. Albans,76,3803496,3693068
Stapleton-Rosebank,34,817632,899402
Stuyvesant Town-Cooper Village,37,706737,778813
Sunset Park East,284,18786600,20544560
Sunset Park West,390,20401680,21075990
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,11,338382,337854
Turtle Bay-East Midtown,2245,111659565,115013595
University Heights-Morris Heights,44,2390740,2384272
Upper East Side-Carnegie Hill,1798,114467872,110050186
Upper West Side,1971,269936334,260917038
Van Nest-Morris Park-Westchester Square,36,976860,1053000
Washington Heights South,899,84210229,75909762
West Brighton,18,312660,319500
West Concourse,50,1977850,1964100
West Farms-Bronx River,2,69084,70022
West New Brighton-New Brighton-St. George,72,2315088,2415672
West Village,1160,79440280,77580800
Westchester-Unionport,7,180376,190736
Westerleigh,7,166530,168714
Whitestone,11,344916,338503
Williamsbridge-Olinville,44,2526480,2698124
Williamsburg,3920,126494480,129069920
Windsor Terrace,157,3262303,3295116
Woodhaven,88,4765112,4987312
Woodlawn-Wakefield,61,2658563,2591463
Woodside,235,10303810,10598265
